Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"131 - Pracownik produkcji"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; """UNI-PRO"" Grzegorz Bokotko"; "2025-07-02"; 
"131 - Pracownik produkcji"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-18"; 
"131 - Robotnik (tereny zielone)"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-23"; 
"131 - Stolarz"; "Małęczyn, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-24"; 
"131-Agent ubezpieczeniowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-24"; 
"133 - Asystent Działu Handlowego"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-18"; 
"133 - Ekspedientka"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "ELMAS KRZYŻANOWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-17"; 
"133 - Kasjer - sprzedawca"; "Wsola, mazowieckie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; "2025-07-15"; 
"133 - Key Account Manager – Eksport (świeże mięso z kurczaka)"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-18"; 
"133 - Kierownik ds. Rozwoju Sieci Sprzedaży Detalicznej"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "ELMAS KRZYŻANOWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-24"; 
"133 - Sprzedawca"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-24"; 
"134 - Opiekun"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-15"; 
"134 - Opiekun"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-23"; 
"135 - Fryzjer damsko męski"; "Radom, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Fryzjerstwo Męskie Barber Shop Kamila Mucha"; "2025-07-10"; 
"135 - Kucharz"; "Kowala-Stępocina, mazowieckie"; "Umowa o pracę na okres próbny"; "CYKADA GOSPODARSTWO AGROTURYSTYCZNE DAMIAN PIETRUSZKA"; "2025-07-25"; 
"135 - Lider działu produkcji"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-09"; 
"135 - Lider linii patroszenia i podrobów"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-18"; 
"135 - Operator maszyn przemysłu spożywczego"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-09"; 
"135 - Pielęgniarka"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WIEDEŃSKA BARBARA NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""AKADEMIA ZDROWIA"" skrót nazwy: NZOZ-AKADEMIA"; "2025-07-21"; 
"135 - Pielęgniarka"; "Radom, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "WIEDEŃSKA BARBARA NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""AKADEMIA ZDROWIA"" skrót nazwy: NZOZ-AKADEMIA"; "2025-07-21"; 
"135 - Pomoc kuchenna"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"135 - Pomoc kuchenna"; "Radom, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Kinga Śliwska"; "2025-07-10"; 
"135-Nauczyciel wychowania przedszkolnego"; "Raszyn, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Przedszkole Nr 2 ''W Stumilowym Lesie'' w Raszynie"; "2025-07-23"; 
"136 - Księgowy/a"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "SPÓŁDZIELNIA MIESZKANIOWA ""ŚRÓDMIEŚCIE"""; "2025-07-02"; 
"136 - Nauczyciel fizyki"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "I Liceum Ogólnokształcące im. Mikołaja Kopernika w Radomiu"; "2025-07-15"; 
"136 - nauczyciel historii"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "Centrum Kształcenia Zawodowego i Ustawicznego Nr 2 w Radomiu"; "2025-04-03"; 
"136 - Pomoc administracyjna"; "Radom, mazowieckie"; "Umowa o pracę w zastępstwie"; "kontakt przez PUP"; "2025-07-23"; 
"136 - Referent ds. księgowości (stażysta)"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-06-12"; 
"136 - Specjalista do spraw kadr i płac"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "Publiczna Szkoła Podstawowa nr 22 z Oddziałami Integracyjnymi im. Mikołaja Reja"; "2025-05-16"; 
"136 - Specjalista ds. kadr i płac"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-17"; 
"136 - Wychowawca w placówce wsparcia dziennego"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "FUNDACJA KREATYWNYCH ZMIAN SPOŁECZNYCH"; "2025-07-23"; 
"136-Lektor języka angielskiego"; "Radom, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Centrum Językowe FILADELFIA Lidia Madej"; "2025-06-25"; 
"136-nauczyciel biologii"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "Centrum Kształcenia Zawodowego i Ustawicznego Nr 2 w Radomiu"; "2025-04-03"; 
"136-nauczyciel chemii"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "Centrum Kształcenia Zawodowego i Ustawicznego Nr 2 w Radomiu"; "2025-04-03"; 
"136-Pracownik administracyjny"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-24"; 
"136-Psycholog"; "Radom, mazowieckie"; "Umowa o pracę w zastępstwie"; "kontakt przez PUP"; "2025-07-23"; 
"Account Manager"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "ACTIVE-IT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-08"; 
"Account Manager (Specjalista do spraw marketingu) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "KIM SP. Z O.O."; "2025-07-11"; 
"Account Manager (z umiejętnością kosztorysowania) PRACA ZDALNA"; "Warszawa, mazowieckie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-05-12"; 
"Adiunkt"; "Łódź, łódzkie"; "Umowa o pracę na czas nieokreślony"; "INSTYTUT MEDYCYNY PRACY IM. PROF. DR MED. JERZEGO NOFERA"; "2025-07-18"; 
"Adiunkt w Dziale Prewencji Muzealnej"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "MUZEUM NARODOWE W KRAKOWIE"; "2025-07-25"; 
"Adiunkt badawczo-dydaktyczny"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Akademia Muzyczna im. Stanisława Moniuszki"; "2025-07-21"; 
"Adiunkt konserwatorski"; "Opinogóra Górna, mazowieckie"; "Umowa o pracę na czas określony"; "Muzeum Romantyzmu w Opinogórze"; "2025-07-24"; 
"Adiunkt konserwatorski/Konserwator tkanin"; "Lublin, lubelskie"; "Umowa o pracę na czas nieokreślony"; "MUZEUM NARODOWE W LUBLINIE"; "2025-07-10"; 
"Adiunkt w dziale sztuki"; "Tarnowskie Góry, śląskie"; "Umowa o pracę na okres próbny"; "Muzeum w Tarnowskich Górach"; "2025-07-24"; 
"Adiunkt w Katedrze Kompozycji i Teorii Muzyki w zakresie: kompozycja"; "Katowice, śląskie"; "Umowa o pracę na czas określony"; "AKADEMIA MUZYCZNA IM. KAROLA SZYMANOWSKIEGO W KATOWICACH"; "2025-07-08"; 
"administracyjno biurowe"; "Kraków, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-25"; 
"Administrator biura"; "Wróblowice, dolnośląskie"; "Umowa o pracę na okres próbny"; "PERSAN POLSKA SPÓŁKA AKCYJNA"; "2025-07-18"; 
"Administrator ds. IT, R27/1628-745/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "MAJSTER BUDOWLANE ABC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-08"; 
"Administrator ds. wsparcia informacyjnego"; "Poznań, wielkopolskie"; "Umowa o pracę na czas określony"; "WIELKOPOLSKI URZĄD WOJEWÓDZKI W POZNANIU"; "2025-07-08"; 
"administrator nieruchomości"; "Biała Podlaska, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-10"; 
"Administrator nieruchomości"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "SPÓŁDZIELNIA MIESZKANIOWA ""CENTRUM"""; "2025-06-12"; 
"Administrator nieruchomości"; "Lądek-Zdrój, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-02"; 
"Administrator nieruchomości"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "SPÓŁDZIELNIA MIESZKANIOWA ""HUBY"""; "2025-07-08"; 
"Administrator nieruchomości"; "Kielce, świętokrzyskie"; "Umowa o pracę na okres próbny"; "ADM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"Administrator nieruchomości"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-24"; 
"Administrator nieruchomości"; "Kielce, świętokrzyskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO GOSPODARKI MIESZKANIOWEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W KIELCACH"; "2025-07-24"; 
"Administrator nieruchomości"; "Szczecin, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "SPÓŁDZIELNIA MIESZKANIOWA ""ZDROWIE"""; "2025-07-24"; 
"Administrator Nieruchomości"; "Płock, mazowieckie"; "Umowa o pracę na okres próbny"; "HILL HOUSE Sp. z o.o."; "2025-07-09"; 
"Administrator nieruchomości R103/1480-671/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "ZARZĄDZANIE I OBRÓT NIERUCHOMOŚCIAMI-ZARZĄDCA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-18"; 
"Administrator nieruchomości wspólnot mieszkaniowych K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "ALINA GOSZCZYŃSKA-MALESA PRZEDSIĘBIORSTWO USŁUGOWO-ADMINISTRACYJNE ""MARIKS"""; "2025-07-18"; 
"Administrator osiedla"; "Piotrków Trybunalski, łódzkie"; "Umowa o pracę na okres próbny"; "PIOTRKOWSKA SPÓŁDZIELNIA MIESZKANIOWA W PIOTRKOWIE TRYBUNALSKIM"; "2025-07-25"; 
"Administrator osiedli"; "Elbląg, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "ELBLĄSKA SPÓŁDZIELNIA MIESZKANIOWA ""SIELANKA"""; "2025-07-10"; 
"Administrator Sieci i Systemów Komputerowych"; "Siedlce, mazowieckie"; "Umowa o pracę na okres próbny"; "Uniwersytet w Siedlcach"; "2025-07-17"; 
"Administrator sieci komputerowej (0,53 etatu) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "SZKOŁA PODSTAWOWA NR 364 IM. KONSTANCJI MARKIEWICZ"; "2025-07-21"; 
"Administrator Systemów i Sieci IT"; "Rzeszów, podkarpackie"; "Umowa o pracę na czas określony"; "FIRMA PROGRAMISTYCZNA ""PROGRAM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-14"; 
"Administrator systemów informatycznych"; "Toszek, śląskie"; "Umowa o pracę na okres próbny"; "SP ZOZ Szpital Psychiatryczny"; "2025-07-11"; 
"Administrator systemów komputerowych - główny administrator systemów komputerowych w Referacie Informatyzacji Urzędu (zespół ds. infrastruktury informatycznej) w Departamencie Cyfryzacji"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Urząd Marszałkowski Województwa Pomorskiego"; "2025-07-21"; 
"Administrator systemów komputerowych K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 163 im. Batalionu ""Zośka"""; "2025-07-23"; 
"administrator wypożyczalni"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "Miejskie Centrum Opieki dla Osób Starszych, Przewlekle Niepełnosprawnych oraz Niesamodzielnych w Krakowie"; "2025-05-19"; 
"Administrator-Inspektor ds. Budowlanych i Instalacyjnych"; "Olsztyn, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Olsztyńska Spółdzielnia Mieszkaniowa"; "2025-06-25"; 
"Administrator-konsultatnt migracyjny ds. wsparcia działań informacyjnych w Wydziale Spraw Cudzoziemców WUW w Poznaniu"; "Poznań, wielkopolskie"; "Umowa o pracę na czas określony"; "WIELKOPOLSKI URZĄD WOJEWÓDZKI W POZNANIU"; "2025-07-08"; 
"Agent - Sprzedawca"; "Łęczyca, łódzkie"; "Umowa o pracę na okres próbny"; """SPOŁEM"" Powszechna Spółdzielnia Spożywców ""MAZUR"" w Łęczycy"; "2025-05-12"; 
"agent celny"; "Woskrzenice Duże, lubelskie"; "Umowa o pracę na okres próbny"; "B.E.L.T.S. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-14"; 
"agent celny"; "Kobylany, lubelskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO USŁUGOWO - HANDLOWE ""AGROSTOP"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-22"; 
"Agent do spraw zakupów"; "Radomsko, łódzkie"; "Umowa o pracę na okres próbny"; "SKB ENERGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-11"; 
"Agent ds. operacyjnych"; "Nowa Wieś Wrocławska, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INTERKADRA Sp. z o. o."; "2025-07-24"; 
"agent nieruchomości"; "Wrocław, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KOMPAS NIERUCHOMOŚCI RYSZARD SURMIAK"; "2025-07-24"; 
"Agent nieruchomości"; "Opole, opolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Sebastian Bąk"; "2025-07-23"; 
"Agent obsługi pasażerskiej check-in/boarding-in/kasa K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Przedsiębiorstwo Produkcyjno-Usługowe ""CZA-TA"" Niciak Spółka Jawna"; "2025-06-26"; 
"Agent obsługi płytowej"; "Balice, małopolskie"; "Umowa o pracę na okres próbny"; "AVIATION SUPPORT POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-15"; 
"Agent Obsługi PRM na lotnisku"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE ""CZA-TA"" NICIAK SPÓŁKA JAWNA"; "2025-04-16"; 
"Agent ochrony z orzeczeniem o stopniu niepełnosprawności"; "Bielany Wrocławskie, dolnośląskie"; "Umowa o pracę na czas określony"; """PLATFORMA INTEGRACJI OSÓB NIEPEŁNOSPRAWNYCH - POROZUMIENIE PRZEDSIĘBIORCZOŚCI SPOŁECZNEJ"""; "2025-04-24"; 
"Agent ochrony/ konwojent R67/1262-510/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "BIURO BEZPIECZEŃSTWA SNAJPER DARIUSZ ZIELIŃSKI - PIOTR ROGOWSKI S.C."; "2025-05-26"; 
"agent ubezpieczeniowy"; "Zduńska Wola, łódzkie"; "Umowa agencyjna"; "Powszechny Zakład Ubezpieczeń Spółka Akcyjna"; "2025-03-06"; 
"agent ubezpieczeniowy"; "Krotoszyn, wielkopolskie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; "2025-06-04"; 
"Agent ubezpieczeniowy"; "Suwałki, podlaskie"; "Umowa zlecenie / Umowa o świadczenie usług"; """RESO EUROPA SERVICE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-04-23"; 
"Agent ubezpieczeniowy"; "Wola, śląskie"; "Umowa o pracę na okres próbny"; "Paweł Frączek"; "2025-05-27"; 
"Agent ubezpieczeniowy"; "Chełmek, małopolskie"; "Umowa o pracę na okres próbny"; "AGNIESZKA MICHALASZEK Przedsiębiorstwo Handlowo-Usługowe ""AMI"" Agnieszka Michalaszek Indywidualna Praktyka"; "2025-06-24"; 
"Agent ubezpieczeniowy"; "Izbica, lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-03"; 
"Agent ubezpieczeniowy"; "Sieradz, łódzkie"; "Umowa agencyjna"; "POWSZECHNY ZAKŁAD UBEZPIECZEŃ SPÓŁKA AKCYJNA"; "2025-06-27"; 
"Agent ubezpieczeniowy"; "Lębork, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KAROLINA GAJEWSKA-JEDYNAK"; "2025-06-27"; 
"Agent ubezpieczeniowy"; "Konin, wielkopolskie"; "Umowa agencyjna"; "NATIONALE-NEDERLANDEN TOWARZYSTWO UBEZPIECZEŃ NA ŻYCIE SPÓŁKA AKCYJNA"; "2025-07-07"; 
"Agent ubezpieczeniowy"; "Wieruszów, łódzkie"; "Umowa o pracę na okres próbny"; "PZU Spółka Akcyjna"; "2025-07-07"; 
"Agent ubezpieczeniowy"; "Przeworsk, podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-17"; 
