Nazwa usługi;Kategoria;Opis;Lokalizacja;Kontakt;Premium
Usługi naprawy komputerów;Informatyczne;Naprawa komputerów, laptopów.;Warszawa;komputery@uslugi.pl;
Usługi projektowania graficznego;Graficzne;Projektowanie logo, identyfikacji wizualnej.;Kraków;grafika@uslugi.pl;
Usługi tłumaczeniowe;Tłumaczenia;Tłumaczenia pisemne i ustne.;Poznań;tlumaczenia@uslugi.pl;
Usługi copywriterskie;Marketing;Pisanie tekstów na strony www.;Wrocław;copy@uslugi.pl;
Usługi doradztwa biznesowego;Biznesowe;Doradztwo dla firm, konsultacje.;Gdańsk;biznes@uslugi.pl;
Usługi leasingowe;Leasing;Leasing samochodów, sprzętu.;Szczecin;leasing@uslugi.pl;
Usługi ubezpieczeniowe;Ubezpieczenia;Ubezpieczenia majątkowe, komunikacyjne.;Łódź;ubezpieczenia@uslugi.pl;
Usługi windykacyjne;Windykacja;Windykacja należności.;Lublin;windykacja@uslugi.pl;
Usługi doradztwa finansowego;Finansowe;Doradztwo kredytowe, inwestycyjne.;Katowice;finanse@uslugi.pl;
Usługi szkoleniowe dla firm;Szkolenia;Szkolenia z zarządzania, sprzedaży.;Białystok;szkolenia@uslugi.pl;
Usługi rekrutacyjne;HR;Rekrutacja pracowników.;Warszawa;rekrutacja@uslugi.pl;
Usługi outsourcingowe;Outsourcing;Outsourcing procesów biznesowych.;Kraków;outsourcing@uslugi.pl;
Usługi call center;Call Center;Obsługa klienta, telemarketing.;Poznań;callcenter@uslugi.pl;
Usługi doradztwa IT;Informatyczne;Doradztwo w zakresie IT.;Wrocław;itdoradztwo@uslugi.pl;
Usługi audytu;Audyt;Audyt finansowy, podatkowy.;Gdańsk;audyt@uslugi.pl;
Usługi doradztwa prawnego;Prawne;Porady prawne, obsługa prawna.;Szczecin;prawne@uslugi.pl;
Usługi doradztwa podatkowego;Księgowe;Doradztwo podatkowe.;Łódź;podatki@uslugi.pl;
Usługi doradztwa personalnego;HR;Doradztwo personalne.;Lublin;personalne@uslugi.pl;
Usługi doradztwa marketingowego;Marketing;Doradztwo marketingowe.;Katowice;marketing@uslugi.pl;
Usługi doradztwa logistycznego;Logistyka;Doradztwo logistyczne.;Białystok;logistyka@uslugi.pl;
Usługi doradztwa strategicznego;Biznesowe;Doradztwo strategiczne.;Warszawa;strategia@uslugi.pl;
